Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Shipping Included,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Changed,1yr. Avg.,% Down,Trend,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Condition,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Seller ID,Seller,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.,Seller Rank,Seller_Quality_Score,Best Price,Recent Inferred Sale Price,Seasonality Type,Detailed_Seasonality,Sells,Peak Season,Expected Peak Price,Trough Season,Expected Trough Price,Profit Confidence,Min. Listing Price,All-in Cost,Profit,Margin,Total AMZ fees,last_seen_utc,source
80%,-,40%,-,-,yes,2025-10-20T07:08:00-04:00,https://www.amazon.com/dp/0983875553?psc=1&aod=1,https://keepa.com/#!product/1-0983875553,"The Less Than Epic Adventures of TJ and Amal (TJ & Amal, 1)",2025-10-21 13:46:00,2025-10-20 08:44:00,-,$14.35,0%,⇧,-,-,-,$7.54,14.99%,2017-01-27,Books,"Comics & Graphic Novels, Graphic Novels, LGBTQ+ Graphic Novels, Gay",Books > Subjects > Comics & Graphic Novels > Graphic Novels > LGBTQ+ Graphic Novels > Gay,0983875553,-,-,Iron Circus Comics,Iron Circus Comics,-,-,-,"Weaver, E.K.",-,paperback,good,-,-,2015-04-14,-,-,1.40 kg,3.3 cm,25.8 cm,16.8 cm,2016-04-29,-,-,-,"1,276,649","2,516,404",-,"2,482,949","1,909,468","1,723,078",-,-,-,-,1,-,-,-,17,A3FM9S79SGC169,No Seller Info,-,-,-,-,-,39.91,-,-,-,-,-,-,-,-,-,-,-,$40.00,-,-,-,-,-,-,-,-,-,-,-,36.68,-,-,-,-,-,-,-,-,-,-,-,-,$32.29,-,-,-,-,-,-,-,-,-,-,$37.97,-,-,-,-,-,-,$21.60,-,-,-,-,$37.91,-,-,-,-,-,-,$21.60,-,-,-,-,$35.84,-,-,-,-,-,-,-,-,-,-,-,$27.55,-,-,-,-,-,-,$21.60,-,-,-,-,$39.05,-,-,-,-,-,-,$29.49,-,-,-,-,$38.48,-,-,-,-,-,-,-,-,-,-,-,$20.44,-,-,-,-,-,-,$40.00,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,5,-,-,-,-,10,N/A,N/A,$21.60,$16.74,Seasonal,None,All Year,Jul,$20.91,Oct,$11.59,50%,39.714849900000004,36.104409000000004,-15.194409000000004,-72.66575322812054,10.674409,-,-
80%,-,85%,-,-,yes,2025-10-21T12:40:00-04:00,https://www.amazon.com/dp/0684192799?psc=1&aod=1,https://keepa.com/#!product/1-0684192799,Civilizations of the Ancient Near East,2025-10-21 13:46:00,2025-10-21 12:40:00,-,$153.44,84%,⇧,-,-,-,$8.10,15.00%,2011-04-10,Books,"History, Ancient Civilizations",Books > Subjects > History > Ancient Civilizations,0684192799,-,-,Charles Scribner's Sons,Charles Scribner's Sons,-,-,-,"Sasson, Jack M.",-,hardcover,very good,-,-,1995-06-29,-,-,2.25 kg,7.6 cm,27.9 cm,24.1 cm,-,-,-,-,"483,216","4,485,848",-,"4,812,840","4,012,949","3,903,921",-,-,-,-,2,-,-,-,6,A3DL77PXLYZGNY,DM Warehouses,$183.33,-,-,-,-,319.71,-,-,-,-,-,-,-,-,-,-,-,$524.99,-,-,-,-,-,-,$179.19,-,-,-,-,317.57,-,-,-,-,-,-,-,-,-,-,-,-,$453.90,-,-,-,-,-,$182.68,-,-,-,-,$318.56,-,-,-,-,-,-,$25.24,-,-,-,-,$165.34,-,-,-,-,-,-,$21.27,-,-,-,-,$142.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.25,-,-,-,-,$178.56,-,-,-,-,-,-,$25.24,-,-,-,-,$145.73,-,-,-,-,-,-,$25.24,-,-,-,-,$145.69,-,-,-,-,-,-,$525.00,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,12,-,-,-,-,9,479,0.96/10,$25.24,$22.77,Seasonal,None,All Year,Jul,$180.37,Jun,$74.11,66%,70.84825000000001,64.4075,115.9625,64.29145645062925,35.155499999999996,-,-
79%,-,75%,-,-,no,2025-10-16T21:36:00-04:00,https://www.amazon.com/dp/1606999680?psc=1&aod=1,https://keepa.com/#!product/1-1606999680,Peanuts Every Sunday: 1966-1970,2025-10-21 13:46:00,2025-10-20 18:32:00,-,$56.78,47%,⇩,-,-,-,$7.94,15.00%,2016-02-15,Books,"Comics & Graphic Novels, Comic Strips",Books > Subjects > Comics & Graphic Novels > Comic Strips,1606999680,-,-,Fantagraphics Books,Fantagraphics Books,-,-,-,"Schulz, Charles M",-,hardcover,acceptable,-,-,2016-12-06,-,-,1.94 kg,3.7 cm,33.7 cm,24.6 cm,2016-02-11,-,-,-,"407,942","1,209,174",-,"1,805,591","1,672,184","1,370,051",-,-,-,-,5,-,-,-,26,A21I6SH8GPCODY,No Seller Info,-,-,-,-,-,58.61,-,-,-,-,-,-,-,-,-,-,-,$49.98,-,-,-,-,-,-,$99.99,-,-,-,-,62.31,-,-,-,-,-,-,-,-,-,-,-,59.95,$26.00,-,-,-,-,-,$99.99,-,-,-,-,$84.27,-,-,-,-,-,-,$29.99,-,-,-,-,$132.46,-,-,-,-,-,-,$25.50,-,-,-,-,$101.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.99,-,-,-,-,$147.23,-,-,-,-,-,-,$29.99,-,-,-,-,$111.06,-,-,-,-,-,-,-,-,-,-,-,$208.69,-,-,-,-,-,-,$49.99,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,4,-,-,-,-,4,N/A,N/A,$29.99,$83.98,Seasonal,None,All Year,Feb,$68.99,Jun,$44.30,69%,62.16980000000001,56.518,12.471999999999994,18.077982316277712,18.2885,-,-
79%,-,79%,-,-,no,2025-10-19T14:00:00-04:00,https://www.amazon.com/dp/B0FD3SYK2L?psc=1&aod=1,https://keepa.com/#!product/1-B0FD3SYK2L,Book Boyfriends,2025-10-21 13:46:00,2025-10-20 14:40:00,-,Too New,Too New,⇩,-,-,-,$5.29,15.01%,2025-08-17,Books,"Literature & Fiction, Women's Fiction, Contemporary",Books > Subjects > Literature & Fiction > Women's Fiction > Contemporary,B0FD3SYK2L,-,-,Three Pug Publishing,-,-,-,-,"Whitney, Melissa",-,paperback,New,-,-,2025-08-26,-,-,0.47 kg,2.1 cm,20.3 cm,12.7 cm,2025-06-13,-,-,-,"748,657","2,064,141",-,"3,583,532","3,583,532","3,583,532",-,-,-,-,1,-,-,-,3,ATVPDKIKX0DER,No Seller Info,$16.99,-,-,-,-,16.99,-,-,-,-,-,-,$16.99,-,-,-,-,$16.99,-,-,-,-,-,-,$16.99,-,-,-,-,16.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.99,-,-,-,-,$23.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.00,-,-,-,-,$93.70,-,-,-,-,-,-,$23.99,-,-,-,-,$23.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$16.99,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-,-,0,N/A,N/A,$16.99,-,Year-Round,None,All Year,-,-,-,-,0%,0.0,0.0,0.0,0.0,0.0,-,-
78%,-,95%,-,-,no,2025-10-20T22:40:00-04:00,https://www.amazon.com/dp/1999756932?psc=1&aod=1,https://keepa.com/#!product/1-1999756932,My First Islamic Studies Book (Junior Level),2025-10-21 13:46:00,2025-10-20 22:40:00,-,$41.45,40%,⇩,-,-,-,$5.68,15.00%,2022-10-19,Books,-,Books > Subjects,1999756932,-,-,Markaz Muaadh Ibn Jabal,-,-,-,-,-,-,Hardcover,good,-,-,2000-01-02,-,-,0.65 kg,1.9 cm,28.7 cm,17.2 cm,2019-09-23,-,-,-,"327,245","1,985,046",-,"2,984,775","2,850,725","2,880,327",-,-,-,-,2,-,-,-,9,AFJSFHKSHU1G7,No Seller Info,$25.00,-,-,-,-,24.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.00,-,-,-,-,72.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$68.68,-,-,-,-,$83.34,-,-,-,-,-,-,-,-,-,-,-,$111.08,-,-,-,-,-,-,$24.99,-,-,-,-,$524.64,-,-,-,-,-,-,-,-,-,-,-,$179.34,-,-,-,-,-,-,$24.99,-,-,-,-,$487.63,-,-,-,-,-,-,-,-,-,-,-,$169.23,-,-,-,-,-,-,$24.99,-,-,-,-,$79.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,2,-,-,-,-,1,N/A,N/A,$24.99,$24.99,Seasonal,None,All Year,Apr,$79.28,Jul,$7.99,36%,55.60665,50.5515,28.728500000000004,36.23675580221998,17.572,-,-
78%,-,77%,-,-,yes,2025-10-21T13:10:00-04:00,https://www.amazon.com/dp/1912870010?psc=1&aod=1,https://keepa.com/#!product/1-1912870010,Suburani Book 1 (UK edition),2025-10-21 13:46:00,2025-10-21 13:10:00,-,$90.37,70%,⇧,-,-,-,$5.84,15.00%,2021-03-28,Books,-,Books > Subjects,1912870010,-,-,-,-,-,-,-,Hands Up Education,-,Paperback,very good,-,-,2020-06-08,-,-,0.79 kg,1.6 cm,25.7 cm,20.8 cm,2021-01-30,-,-,-,"216,469","1,604,949",-,"2,343,488","2,854,434","3,200,141",-,-,-,-,6,-,-,-,10,A9G4IDK5ZNW30,No Seller Info,-,-,-,-,-,158.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$157.99,-,-,-,-,-,-,$79.99,-,-,-,-,$93.28,-,-,-,-,-,-,$23.11,-,-,-,-,$102.49,-,-,-,-,-,-,-,-,-,-,-,$144.99,-,-,-,-,-,-,$119.49,-,-,-,-,$103.79,-,-,-,-,-,-,$27.10,-,-,-,-,$82.10,-,-,-,-,-,-,-,-,-,-,-,$29.17,-,-,-,-,-,-,$69.99,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,4,-,-,-,-,3,N/A,N/A,$27.10,$24.52,Seasonal,None,All Year,Aug,$112.89,May,$37.60,45%,59.37635,53.9785,58.911500000000004,52.184870227655246,22.7735,-,-
78%,-,26%,-,-,yes,2025-10-21T10:16:00-04:00,https://www.amazon.com/dp/0195014901?psc=1&aod=1,https://keepa.com/#!product/1-0195014901,The Thirteen Principal Upanishads (Galaxy Books),2025-10-21 13:46:00,2025-10-21 10:40:00,-,$7.73,0%,⇩,-,-,-,$3.82,15.00%,2011-05-06,Books,Religion & Spirituality,Books > Subjects > Religion & Spirituality,0195014901,-,-,Oxford University Press,"Oxford University Press, USA",-,-,-,Robert Ernest Hume,-,Paperback,good,-,-,2000-01-02,-,-,0.39 kg,1.5 cm,23.6 cm,16.3 cm,-,-,-,-,"762,228","4,718,449",-,"3,585,541","4,396,350","4,147,800",-,-,-,-,1,-,-,-,4,A1QJ4UH6FW3UH1,No Seller Info,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$115.39,-,-,-,-,-,-,$25.31,-,-,-,-,$37.83,-,-,-,-,-,-,$25.31,-,-,-,-,$34.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.31,-,-,-,-,$13.25,-,-,-,-,-,-,$25.31,-,-,-,-,$17.77,-,-,-,-,-,-,$25.31,-,-,-,-,$34.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,6,-,-,-,-,5,N/A,N/A,$25.31,$13.95,Seasonal,None,All Year,Jun,$13.95,Aug,$2.17,48%,38.7618,35.238,-21.288,-152.60215053763443,5.9125,-,-
76%,-,70%,-,-,no,2025-10-20T16:40:00-04:00,https://www.amazon.com/dp/0354040375?psc=1&aod=1,https://keepa.com/#!product/1-0354040375,The Book of Nonsense: An Anthology,2025-10-21 13:46:00,2025-10-21 13:10:00,-,$131.91,76%,⇩,-,-,-,$5.84,15.00%,2015-06-04,Books,"Humor & Entertainment, Humor",Books > Subjects > Humor & Entertainment > Humor,0354040375,-,-,Raven Books,-,-,-,-,Paul Jennings,-,Hardcover,good,-,-,2000-01-02,-,-,0.79 kg,4.3 cm,24.1 cm,16.3 cm,-,-,-,-,"372,778","4,605,401",-,"4,468,048","3,831,593","3,650,763",-,-,-,-,1,-,-,-,5,A66REUIM3OMP6,No Seller Info,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$247.61,-,-,-,-,249.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$247.61,-,-,-,-,$250.05,-,-,-,-,-,-,$31.11,-,-,-,-,$112.75,-,-,-,-,-,-,$27.12,-,-,-,-,$90.71,-,-,-,-,-,-,-,-,-,-,-,$94.87,-,-,-,-,-,-,$88.88,-,-,-,-,$88.95,-,-,-,-,-,-,$31.11,-,-,-,-,$101.99,-,-,-,-,-,-,-,-,-,-,-,$138.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,7,-,-,-,-,3,N/A,N/A,$31.11,$17.71,Seasonal,None,All Year,Nov,$179.22,Mar,$6.80,26%,79.34134999999999,72.12849999999999,107.09150000000001,59.75421269947551,32.723,-,-
76%,-,89%,-,-,yes,2025-10-09T21:56:00-04:00,https://www.amazon.com/dp/0978965019?psc=1&aod=1,https://keepa.com/#!product/1-0978965019,The Historic Chicago Greystone: A User's Guide for Renovating and Maintaining Your Home,2025-10-21 13:36:00,2025-10-21 13:10:00,-,Too New,Too New,⇩,-,-,-,$3.53,15.01%,2011-04-10,Books,"Arts & Photography, Architecture, Historic Preservation",Books > Subjects > Arts & Photography > Architecture > Historic Preservation,0978965019,-,-,Univ of IL Chicago City Design Center,University of Chicago Press,-,-,-,"Wheeler, Daniel",-,paperback,very good,-,-,2008-03-01,-,-,0.23 kg,1.0 cm,27.2 cm,21.1 cm,-,-,-,-,"381,512","9,022,789",-,"8,889,278","8,226,465","7,339,425",-,-,-,-,1,-,-,-,2,AFJSFHKSHU1G7,No Seller Info,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.96,-,-,-,-,$257.04,-,-,-,-,-,-,$29.96,-,-,-,-,$263.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$73.08,-,-,-,-,-,-,$29.96,-,-,-,-,$284.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.95,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,2,N/A,N/A,$29.96,-,Year-Round,None,All Year,-,-,-,-,0%,0.0,0.0,0.0,0.0,0.0,-,-
80%,-,80%,-,-,no,2025-10-21T12:32:00-04:00,https://www.amazon.com/dp/0939956004?psc=1&aod=1,https://keepa.com/#!product/1-0939956004,Fighting the Food Giants,2025-10-21 13:46:00,2025-10-21 12:32:00,-,$25.43,17%,⇧,-,-,-,$3.53,15.00%,2015-01-29,Books,"Politics & Social Sciences, Sociology",Books > Subjects > Politics & Social Sciences > Sociology,0939956004,-,-,Natural Pr,-,-,-,-,"Stitt, Paul A.",-,Paperback,acceptable,-,-,2000-01-02,-,-,0.21 kg,1.8 cm,20.7 cm,13.4 cm,-,-,-,-,"748,924","3,416,505",-,"3,380,008","3,146,942","2,703,989",-,-,-,-,1,-,-,-,8,A27EK23NIPUXRO,No Seller Info,-,-,-,-,-,307.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1238.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$1336.41,-,-,-,-,-,-,$21.00,-,-,-,-,$99.10,-,-,-,-,-,-,$17.02,-,-,-,-,$87.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$104.60,-,-,-,-,-,-,$21.00,-,-,-,-,$93.13,-,-,-,-,-,-,-,-,-,-,-,$87.54,-,-,-,-,-,-,$5.00,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,8,-,-,-,-,4,N/A,N/A,$21.00,$21.45,Seasonal,None,All Year,Dec,$45.68,Nov,$11.98,34%,43.089200000000005,39.172000000000004,6.507999999999996,14.246935201401042,10.382,-,-
76%,-,71%,-,-,no,2025-10-21T08:52:00-04:00,https://www.amazon.com/dp/1848870175?psc=1&aod=1,https://keepa.com/#!product/1-1848870175,Last Crusade: The Epic Voyages of Vasco Da Gama,2025-10-21 13:46:00,2025-10-21 08:52:00,-,$86.92,76%,⇧,-,-,-,$6.24,15.00%,2016-11-30,Books,Science & Math,Books > Subjects > Science & Math,1848870175,-,-,Atlantic,Atlantic Books,-,-,-,Nigel Cliff,-,Hardcover,very good,-,-,2000-01-02,-,-,1.02 kg,5.1 cm,23.9 cm,15.7 cm,2012-05-02,-,-,-,"1,118,610","1,933,040",-,"3,683,953","3,854,480","3,649,089",-,-,-,-,1,-,-,-,8,A327JZFAPRTZ0D,No Seller Info,-,-,-,-,-,474.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$1175.17,-,-,-,-,1130.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$1175.17,-,-,-,-,$1125.42,-,-,-,-,-,-,-,-,-,-,-,$99.83,-,-,-,-,-,-,$21.27,-,-,-,-,$72.13,-,-,-,-,-,-,-,-,-,-,-,$193.53,-,-,-,-,-,-,$41.07,-,-,-,-,$97.88,-,-,-,-,-,-,$21.27,-,-,-,-,$81.93,-,-,-,-,-,-,-,-,-,-,-,$93.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0,4,-,-,-,-,6,N/A,N/A,$21.27,$17.27,Seasonal,None,All Year,Jun,$144.94,Oct,$23.74,49%,62.75995000000001,57.054500000000004,87.8855,60.63578032289223,27.981,-,-
76%,-,85%,-,-,no,2025-10-02T09:54:00-04:00,https://www.amazon.com/dp/1542733790?psc=1&aod=1,https://keepa.com/#!product/1-1542733790,The Trapped Mind Project (Emerilia),2025-10-21 13:46:00,2025-10-15 04:20:00,-,Too New,Too New,⇧,-,-,-,$6.10,15.01%,2017-04-14,Books,"Literature & Fiction, Action & Adventure, Fantasy",Books > Subjects > Literature & Fiction > Action & Adventure > Fantasy,1542733790,-,-,CreateSpace Independent Publishing Platform,-,-,-,-,"Chatfield, Michael",-,paperback,very good,-,-,2017-02-02,-,-,0.85 kg,2.9 cm,22.9 cm,15.2 cm,2017-02-02,-,-,-,"613,803","2,889,031",-,"2,812,385","2,812,385","6,954,473",-,-,-,-,2,-,-,-,3,ATVPDKIKX0DER,No Seller Info,$20.99,-,-,-,-,20.98,-,-,-,-,-,-,$20.99,-,-,-,-,$20.98,-,-,-,-,-,-,$20.99,-,-,-,-,20.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.85,-,-,-,-,$29.85,-,-,-,-,-,-,-,-,-,-,-,$14.26,-,-,-,-,-,-,$25.99,-,-,-,-,$173.36,-,-,-,-,-,-,$29.98,-,-,-,-,$29.97,-,-,-,-,-,-,-,-,-,-,-,$14.26,-,-,-,-,-,-,$29.99,-,-,-,-,$295.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.99,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,2,2,-,-,-,-,1,N/A,N/A,$20.99,$25.99,Holiday,None,All Year,Oct-Dec,-,Jan-Feb,-,50%,0.0,0.0,0.0,0.0,0.0,-,-
75%,-,27%,-,-,no,2025-10-21T05:12:00-04:00,https://www.amazon.com/dp/1645057844?psc=1&aod=1,https://keepa.com/#!product/1-1645057844,Miss Kobayashi's Dragon Maid Vol. 10,2025-10-21 13:46:00,2025-10-21 05:12:00,-,$8.45,0%,⇩,-,-,-,$3.44,15.01%,2020-03-03,Books,"Comics & Graphic Novels, Manga, Fantasy",Books > Subjects > Comics & Graphic Novels > Manga > Fantasy,1645057844,-,-,Seven Seas,Seven Seas,-,-,-,Coolkyousinnjya,-,Paperback,good,-,-,2021-03-30,-,-,0.13 kg,1.5 cm,18.1 cm,12.6 cm,2019-12-15,-,-,-,"299,020","1,120,256",-,"1,105,220","886,763","712,966",-,-,-,-,4,-,-,-,107,A3R81AWAUCTP1D,No Seller Info,-,-,-,-,-,12.43,-,-,-,-,-,-,-,-,-,-,-,$12.43,-,-,-,-,-,-,-,-,-,-,-,10.44,-,-,-,-,-,-,-,-,-,-,-,-,$9.49,-,-,-,-,-,-,-,-,-,-,$15.67,-,-,-,-,-,-,-,-,-,-,-,$8.76,-,-,-,-,-,-,$22.51,-,-,-,-,$30.64,-,-,-,-,-,-,-,-,-,-,-,$10.20,-,-,-,-,-,-,-,-,-,-,-,$26.55,-,-,-,-,-,-,$24.99,-,-,-,-,$27.59,-,-,-,-,-,-,-,-,-,-,-,$11.05,-,-,-,-,-,-,$12.99,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,9,9,-,-,-,-,8,N/A,N/A,$24.99,$11.29,Year-Round,None,All Year,Oct,$7.92,Feb,$4.98,87%,41.3691212,37.608292,-29.688291999999997,-374.8521717171717,4.628792,-,-
